1,1,1,1,1,*,1,A10015
0,0,0,0,,*,1,A10033
0,0,0,0,,*,1,A10102
1,1,1,1,1,*,1,A10121
1,1,1,1,1,*,1,A10127
1,1,1,1,1,*,1,A10138
1,1,1,1,1,*,1,A1014
1,1,1,1,1,*,1,A10154
1,1,1,1,1,*,1,A10205
1,1,1,1,1,*,1,A10213
1,1,1,1,1,*,1,A10238
0,0,0,0,,*,1,A10249
0,0,0,0,,*,1,A10288
1,1,1,1,1,*,1,A10290
0,0,0,0,,*,1,A10305
1,1,1,1,1,*,1,A10311
1,1,1,1,1,*,1,A10390
1,1,1,1,1,*,1,A10403
1,1,1,1,1,*,1,A10404
1,1,1,1,1,*,1,A10428
1,1,1,1,1,*,1,A10436
1,1,1,1,1,*,1,A10450
1,1,1,1,1,*,1,A10463
1,1,1,1,1,*,1,A10466
0,0,0,0,,*,1,A10499
1,1,1,1,1,*,1,A10505
0,0,0,0,,*,1,A10519
1,1,1,1,1,*,1,A10554
1,1,1,1,1,*,1,A10563
1,1,1,1,1,*,1,A10565
1,1,1,1,1,*,1,A10585
1,1,1,1,1,*,1,A10589
1,1,1,1,1,*,1,A10649
0,0,0,0,,*,1,A10651
0,0,0,0,,*,1,A10655
0,0,0,0,,*,1,A10664
0,0,0,0,,*,1,A10694
1,1,1,1,1,*,1,A10702
0,0,0,0,,*,1,A10714
1,1,1,1,1,*,1,A10721
0,0,0,0,,*,1,A10734
0,0,0,0,,*,1,A10740
1,1,1,1,1,*,1,A10750
1,1,1,1,1,*,1,A10764
1,1,1,1,1,*,1,A10776
1,1,1,1,1,*,1,A10806
0,0,0,0,,*,1,A10819
0,0,0,0,,*,1,A10847
0,0,0,0,,*,1,A10929
1,1,1,1,1,*,1,A1093
0,0,0,0,,*,1,A10940
0,0,0,0,,*,1,A1098
1,1,1,1,1,*,1,A11
0,0,0,0,,*,1,A11001
1,1,1,1,1,*,1,A11006
1,1,1,1,1,*,1,A11007
1,1,1,1,1,*,1,A11010
0,0,0,0,,*,1,A11046
0,0,0,0,,*,1,A11052
1,1,1,1,1,*,1,A11086
1,1,1,1,1,*,1,A11109
1,1,1,1,1,*,1,A11113
0,0,0,0,,*,1,A11192
1,1,1,1,1,*,1,A11258
0,0,0,0,,*,1,A11269
0,0,0,0,,*,1,A11345
1,1,1,1,1,*,1,A11349
1,1,1,1,1,*,1,A11356
1,1,1,1,1,*,1,A11365
1,1,1,1,1,*,1,A1137
1,1,1,1,1,*,1,A11388
1,1,1,1,1,*,1,A11432
0,0,0,0,,*,1,A11446
0,0,0,0,,*,1,A11450
0,0,0,0,,*,1,A11455
1,1,1,1,1,*,1,A11472
0,0,0,0,,*,1,A11482
1,1,1,1,1,*,1,A115
0,0,0,0,,*,1,A11503
1,1,1,1,1,*,1,A11510
1,1,1,1,1,*,1,A11531
0,0,0,0,,*,1,A11538
0,0,0,0,,*,1,A11540
1,1,1,1,1,*,1,A11554
